title,variety,winery,region_1,province,country
Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone,Beaujolais-Villages,Beaujolais,France
Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia),Red Blend,Duca di Salaparuta,Sicilia,Sicily & Sardinia,Italy
Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia),White Blend,Duca di Salaparuta,Sicilia,Sicily & Sardinia,Italy
Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley),Red Blend,Envolve,Dry Creek Valley,California,US
Envolve 2011 Sauvignon Blanc (Sonoma Valley),Sauvignon Blanc,Envolve,Sonoma Valley,California,US
Erath 2010 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath,McMinnville,Oregon,US
Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley),Viognier-Chardonnay,Estampa,,Colchagua Valley,Chile
Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Feudi del Pisciotto,Sicilia,Sicily & Sardinia,Italy
Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia),Primitivo,Feudi di San Marzano,Puglia,Southern Italy,Italy
Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia),Nero d'Avola,Feudo di Santa Tresa,Sicilia,Sicily & Sardinia,Italy
Feudo Montoni 2011 Catarratto (Sicilia),Catarratto,Feudo Montoni,Sicilia,Sicily & Sardinia,Italy
Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Pinot Noir,Hawkins Cellars,Willamette Valley,Oregon,US
Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy,Beaujolais,Beaujolais,France
Robert Hall 2011 Sauvignon Blanc (Paso Robles),Sauvignon Blanc,Robert Hall,Paso Robles,California,US
Sundance 2011 Merlot (Maule Valley),Merlot,Sundance,,Maule Valley,Chile
Tarara 2010 #SocialSecret Red (Virginia),Red Blend,Tarara,Virginia,Virginia,US
Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),Inzolia,Tasca d'Almerita,Sicilia,Sicily & Sardinia,Italy
The White Knight 2011 Riesling (Lake County),Riesling,The White Knight,Lake County,California,US
Trump 2011 Sauvignon Blanc (Monticello),Sauvignon Blanc,Trump,Monticello,Virginia,US
Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air,Brouilly,Beaujolais,France
Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Red Blend,Viticultori Associati Canicatti,Sicilia,Sicily & Sardinia,Italy
Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Petit Verdot,Casa Silva,,Colchagua Valley,Chile
Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Monica,Cantine di Dolianova,Monica di Sardegna,Sicily & Sardinia,Italy
Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc),Bordeaux-style White Blend,Château de Sours,Bordeaux Blanc,Bordeaux,France
Corvo 2010 Rosso Red (Sicilia),Red Blend,Corvo,Sicilia,Sicily & Sardinia,Italy
RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Chardonnay,RustRidge,Napa Valley,California,US
Souverain 2010 Chardonnay (North Coast),Chardonnay,Souverain,North Coast,California,US
Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Grillo,Tasca d'Almerita,Sicilia,Sicily & Sardinia,Italy
Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Pinot Noir,Tres Palacios,,Maipo Valley,Chile
Mellisoni 2014 Malbec (Columbia Valley (WA)),Malbec,Mellisoni,Columbia Valley (WA),Washington,US
Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Okapi,Napa Valley,California,US
Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Sangiovese,Podere dal Nespoli,Romagna,Central Italy,Italy
Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Cabernet Franc,Ram,Columbia Valley (WA),Washington,US
Roland Champion NV Brut Rosé  (Champagne),Champagne Blend,Roland Champion,Champagne,Champagne,France
Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,Sevtap,Santa Ynez Valley,California,US
Simonnet-Febvre 2015  Chablis,Chardonnay,Simonnet-Febvre,Chablis,Burgundy,France
Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine,Chardonnay,Vignerons des Terres Secrètes,Mâcon-Milly Lamartine,Burgundy,France
Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars,Columbia Valley (WA),Washington,US
Cocobon 2014 Red (California),Red Blend,Cocobon,California,California,US
Collet NV Brut Rosé  (Champagne),Champagne Blend,Collet,Champagne,Champagne,France
Drumheller 2014 Chardonnay (Columbia Valley (WA)),Chardonnay,Drumheller,Columbia Valley (WA),Washington,US
Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Eco Terreno,Alexander Valley,California,US
Grifalco 2013 Daginestra  (Aglianico del Vulture),Aglianico,Grifalco,Aglianico del Vulture,Southern Italy,Italy
Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Hindsight,Howell Mountain,California,US
Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Petite Sirah,Hindsight,Calistoga,California,US
Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Bordeaux-style Red Blend,Mulvane Wine Co.,Napa Valley,California,US
Schmitt Söhne 2015 Riesling (Rheinhessen),Riesling,Schmitt Söhne,,Rheinhessen,Germany
Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba,South Australia,South Australia,Australia
Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO,Eola-Amity Hills,Oregon,US
Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Touriga Nacional,Adega Cooperativa do Cartaxo,,Tejo,Portugal
Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Carmenère,Aresti,,Rapel Valley,Chile
Spyro 2014 Albariño (Rías Baixas),Albariño,Spyro,Rías Baixas,Galicia,Spain
Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Petit Manseng,Lionel Osmin & Cie,Vin de France,France Other,France
Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Rosé,Mitolo,McLaren Vale,South Australia,Australia
Napa Cellars 2014 Classic Zinfandel (Napa Valley),Zinfandel,Napa Cellars,Napa Valley,California,US
P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Riesling,P.J. Valckenberg,,Rheinhessen,Germany
Palencia 2016 Albariño (Ancient Lakes),Albariño,Palencia,Ancient Lakes,Washington,US
Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Merlot,Passaggio,Knights Valley,California,US
Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano),Vernaccia,Poggio Alloro,Vernaccia di San Gimignano,Tuscany,Italy
Fattoria Sardi 2015 Rosato (Toscana),Rosato,Fattoria Sardi,Toscana,Tuscany,Italy
Ferrari-Carano 2014 Siena Red (Sonoma County),Red Blend,Ferrari-Carano,Sonoma County,California,US
Folie à Deux 2015 Pinot Gris (Sonoma Coast),Pinot Gris,Folie à Deux,Sonoma Coast,California,US
Franciscan 2013 Magnificat Meritage (Napa Valley),Meritage,Franciscan,Napa Valley,California,US
Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs,,Burgenland,Austria
Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård,Columbia Valley (WA),Washington,US
Henry Fessy 2015  Juliénas,Gamay,Henry Fessy,Juliénas,Beaujolais,France
Henry Fessy 2015  Régnié,Gamay,Henry Fessy,Régnié,Beaujolais,France
Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill,Finger Lakes,New York,US
Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi,Morellino di Scansano,Tuscany,Italy
Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards,Napa Valley,California,US
Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa,Finger Lakes,New York,US
Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing,Finger Lakes,New York,US
Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing,Finger Lakes,New York,US
Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda,,Leyda Valley,Chile
Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta,Toscana,Tuscany,Italy
Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori,Toscana,Tuscany,Italy
Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi,Toscana,Tuscany,Italy
Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi,Toscana,Tuscany,Italy
Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch,Santa Clara Valley,California,US
Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia,Toscana,Tuscany,Italy
Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils,Brouilly,Beaujolais,France
Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña,Yountville,California,US
Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona,Toscana,Tuscany,Italy
Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso,Toscana,Tuscany,Italy
Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull,Paso Robles,California,US
Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull,Paso Robles,California,US
R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2,Santa Ynez Valley,California,US
Rideau 2014 Estate Syrah,Syrah,Rideau,Central Coast,California,US
Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi,Toscana,Tuscany,Italy
Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Dopff & Irion,Alsace,Alsace,France
Ceretto 2003 Bricco Rocche Prapó  (Barolo),Nebbiolo,Ceretto,Barolo,Piedmont,Italy
Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix,Alexander Valley,California,US
Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson,Rockpile,California,US
Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons,Padthaway,South Australia,Australia
Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado,Napa Valley,California,US
Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche,,Stellenbosch,South Africa
Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr,Alsace,Alsace,France
Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr,Alsace,Alsace,France
Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,Kuentz-Bas,Alsace,Alsace,France
Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,Camberley,,Stellenbosch,South Africa
Ceretto 2003 Bricco Rocche Brunate  (Barolo),Nebbiolo,Ceretto,Barolo,Piedmont,Italy
Dopff & Irion 2008 Gentil White (Alsace),Alsace white blend,Dopff & Irion,Alsace,Alsace,France
Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim,,Simonsberg-Stellenbosch,South Africa
Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi,Barolo,Piedmont,Italy
Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden,Napa Valley,California,US
Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri,Barolo,Piedmont,Italy
Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,Lassègue,Saint-Émilion,Bordeaux,France
Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont,,Walker Bay,South Africa
Dopff & Irion 2008 Crustacés White (Alsace),Alsace white blend,Dopff & Irion,Alsace,Alsace,France
Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas,Alsace,Alsace,France
Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla,Barbera d'Alba,Piedmont,Italy
Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri,Barolo,Piedmont,Italy
Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,Banyan,Santa Lucia Highlands,California,US
Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht,Alsace,Alsace,France
Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine,Spring Mountain District,California,US
Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,Santa Lucia Highlands,California,US
Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,Santa Ynez Valley,California,US
Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards,Santa Ynez Valley,California,US
Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift,,Rheinhessen,Germany
Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath,Monterey,California,US
Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick,Napa Valley,California,US
Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Portuguese White,Herdade Grande,,Alentejano,Portugal
Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge,Carmel Valley,California,US
Alta Colina 2012 Old 900 Syrah (Paso Robles),Syrah,Alta Colina,Paso Robles,California,US
Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Graciano,Marques de Griñon,Dominio de Valdepusa,Central Spain,Spain
Big Basin 2013 Syrah (Santa Cruz Mountains),Syrah,Big Basin,Santa Cruz Mountains,California,US
Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Riesling,Carl Graff,,Mosel,Germany
Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória,,Alentejano,Portugal
Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano,Chianti Classico,Tuscany,Italy
Castello Romitorio 2011 Filo di Seta  (Brunello di Montalcino),Sangiovese,Castello Romitorio,Brunello di Montalcino,Tuscany,Italy
Château Vincens 2012 Malbec (Cahors),Malbec,Château Vincens,Cahors,Southwest France,France
Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Red Blend,Chronic Cellars,Paso Robles,California,US
Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Riesling,Claiborne & Churchill,Edna Valley,California,US
Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),Gamay,Collin-Bourisset,Moulin-à-Vent,Beaujolais,France
Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Red Blend,Conde de Velázquez,,Aconcagua Valley,Chile
Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Cono Sur,,Maipo Valley,Chile
Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Tannat-Cabernet,Domaine Berthoumieu,Madiran,Southwest France,France
Dracaena 2013 Cabernet Franc (Paso Robles),Cabernet Franc,Dracaena,Paso Robles,California,US
Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Merlot,Duckhorn,Napa Valley,California,US
Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield,Russian River Valley,California,US
Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Riesling,Fritz Haag,,Mosel,Germany
Fritz Haag 2014 Riesling (Mosel),Riesling,Fritz Haag,,Mosel,Germany
G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Cabernet Sauvignon,G7,,Loncomilla Valley,Chile
Le Cadeau 2014 Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,Willamette Valley,Oregon,US
Stoneleigh 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Stoneleigh,,Marlborough,New Zealand
Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Sauvignon,Tenuta Peter Sölva & Söhne,Alto Adige,Northeastern Italy,Italy
TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Red Blend,TerraMater,,Maipo Valley,Chile
Isole e Olena 2005  Chianti Classico,Sangiovese,Isole e Olena,Chianti Classico,Tuscany,Italy
Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Syrah,Kenwood,Sonoma Valley,California,US
La Chablisienne 2006 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,Chablis,Burgundy,France
Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Manzoni,Santa Lucia Highlands,California,US
McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Pinot Noir,McIntyre Vineyards,Arroyo Seco,California,US
Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino),Sangiovese Grosso,Abbadia Ardenga,Brunello di Montalcino,Tuscany,Italy
Alamos 2007 Torrontés (Salta),Torrontés,Alamos,Salta,Other,Argentina
Anaba 2007 Chardonnay (Sonoma Coast),Chardonnay,Anaba,Sonoma Coast,California,US
Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Carmenère,Apaltagua,,Colchagua Valley,Chile
Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington,Anderson Valley,California,US
Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Red Blend,Abbazia Santa Anastasia,Sicilia,Sicily & Sardinia,Italy
Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Merlot,Viña Bisquertt,,Colchagua Valley,Chile
Emiliana 2008 Natura Chardonnay (Casablanca Valley),Chardonnay,Emiliana,,Casablanca Valley,Chile
Fattoria Alois 2007 Campole Red (Campania),Red Blend,Fattoria Alois,Campania,Southern Italy,Italy
Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Cabernet Sauvignon,Henry's Drive Vignerons,Padthaway,South Australia,Australia
Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Red Blend,Aldegheri,Rosso del Veronese,Veneto,Italy
Bertrand Ambroise 2006  St.-Romain,Chardonnay,Bertrand Ambroise,St.-Romain,Burgundy,France
Campomaggio 2005  Chianti Classico,Sangiovese,Campomaggio,Chianti Classico,Tuscany,Italy
Carpineto 2003 Riserva  (Vino Nobile di Montepulciano),Prugnolo Gentile,Carpineto,Vino Nobile di Montepulciano,Tuscany,Italy
Cesani 2007 Pancole  (Vernaccia di San Gimignano),Vernaccia,Cesani,Vernaccia di San Gimignano,Tuscany,Italy
Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier,,Western Cape,South Africa
Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequum,Napa Valley,California,US
Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Cabernet Franc,Sierra Starr,Nevada County,California,US
Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino),Sangiovese,Tenuta di Sesta,Brunello di Montalcino,Tuscany,Italy
Terlan 2014 Nova Domus Riserva White (Alto Adige),White Blend,Terlan,Alto Adige,Northeastern Italy,Italy
Yatir 2011 Syrah (Judean Hills),Syrah,Yatir,,Judean Hills,Israel
Adega Cooperativa de Borba 2012 Montes Claros Garrafeira Red (Alentejo),Portuguese Red,Adega Cooperativa de Borba,,Alentejo,Portugal
J. Lohr 2014 Gesture G-S-M (Paso Robles),G-S-M,J. Lohr,Paso Robles,California,US
J. Lohr 2015 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr,Arroyo Seco,California,US
Courtney Benham 2014 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham,Napa Valley,California,US
Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Zinfandel,Del Carlo Winery,Dry Creek Valley,California,US
Delaire Graff 2013 Reserve White (Coastal Region),White Blend,Delaire Graff,,Coastal Region,South Africa
Domaine St Pierre 2014 Red (Côtes du Rhône),Rhône-style Red Blend,Domaine St Pierre,Côtes du Rhône,Rhône Valley,France
Eikendal 2014 Chardonnay (Western Cape),Chardonnay,Eikendal,,Western Cape,South Africa
Famille Perrin 2013 Les Christins Red (Vacqueyras),Rhône-style Red Blend,Famille Perrin,Vacqueyras,Rhône Valley,France
Matarromera 2015 Fermentado en Barrica Verdejo (Rueda),Verdejo,Matarromera,Rueda,Northern Spain,Spain
MCV 2014 1105 Red (Paso Robles),Red Blend,MCV,Paso Robles,California,US
Mounts 2014 Verah Red (Dry Creek Valley),Rhône-style Red Blend,Mounts,Dry Creek Valley,California,US
Or Haganuz 2014 French Blend Red (Galilee),Bordeaux-style Red Blend,Or Haganuz,,Galilee,Israel
Podere Scopetone 2012  Brunello di Montalcino,Sangiovese,Podere Scopetone,Brunello di Montalcino,Tuscany,Italy
Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Portuguese Red,Quinta de Foz de Arouce,,Beira Atlantico,Portugal
Robert Mondavi 2015 Fumé Blanc (Napa Valley),Fumé Blanc,Robert Mondavi,Napa Valley,California,US
Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),Furmint,Samuel Tinon,,Tokaj,Hungary
Sixteen by Twenty 2014 Chardonnay (Sonoma Coast),Chardonnay,Sixteen by Twenty,Sonoma Coast,California,US
St. Pauls 2014 Passion Riserva Pinot Bianco (Alto Adige),Pinot Bianco,St. Pauls,Alto Adige,Northeastern Italy,Italy
Talenti 2011 Trentennale  (Brunello di Montalcino),Sangiovese,Talenti,Brunello di Montalcino,Tuscany,Italy
Terlan 2015 Pinot Bianco (Alto Adige),Pinot Bianco,Terlan,Alto Adige,Northeastern Italy,Italy
Mendel 2014 Lunta Malbec (Luján de Cuyo),Malbec,Mendel,Luján de Cuyo,Mendoza Province,Argentina
Oldenburg 2013 Chardonnay (Stellenbosch),Chardonnay,Oldenburg,,Stellenbosch,South Africa
Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg,,Stellenbosch,South Africa
Wagner 2006 Grace House Pinot Noir (Finger Lakes),Pinot Noir,Wagner,Finger Lakes,New York,US
Treleaven 2006 Semi-Dry Riesling (Cayuga Lake),Riesling,Treleaven,Cayuga Lake,New York,US
